"period","site","dens","spp","norm"
15,"1_10R",0.5,"pter",0.898017191801841
16,"1_10R",0.35,"pter",0.409833349278693
17,"1_10R",0.65,"pter",1.38620103432499
18,"1_10R",1.1,"pter",2.85075256189444
19,"1_10R",0.85,"pter",2.03711282435585
20,"1_10R",NA,"pter",NA
21,"1_10R",0.1,"pter",-0.403806388259888
22,"1_10R",0,"pter",-0.729262283275321
23,"1_10R",0,"pter",-0.729262283275321
24,"1_10R",0,"pter",-0.729262283275321
25,"1_10R",0,"pter",-0.729262283275321
26,"1_10R",NA,"pter",NA
27,"1_10R",0,"pter",-0.729262283275321
28,"1_10R",0,"pter",-0.729262283275321
29,"1_10R",0,"pter",-0.729262283275321
30,"1_10R",0,"pter",-0.729262283275321
31,"1_10R",0,"pter",-0.729262283275321
32,"1_10R",0,"pter",-0.729262283275321
33,"1_10R",0,"pter",-0.729262283275321
34,"1_10R",0,"pter",-0.729262283275321
35,"1_10R",0,"pter",-0.729262283275321
36,"1_10R",0,"pter",-0.729262283275321
37,"1_10R",0,"pter",-0.729262283275321
38,"1_10R",0,"pter",-0.729262283275321
39,"1_10R",0,"pter",-0.729262283275321
40,"1_10R",0,"pter",-0.729262283275321
41,"1_10R",0,"pter",-0.729262283275321
42,"1_10R",0,"pter",-0.729262283275321
43,"1_10R",0,"pter",-0.729262283275321
44,"1_10R",0,"pter",-0.729262283275321
45,"1_10R",0,"pter",-0.729262283275321
46,"1_10R",0.45,"pter",0.735289244294125
47,"1_10R",0.15,"pter",-0.241078440752172
48,"1_10R",NA,"pter",NA
49,"1_10R",0.4,"pter",0.572561296786409
50,"1_10R",0.3,"pter",0.247105401770976
51,"1_10R",0.15,"pter",-0.241078440752172
52,"1_10R",0.15,"pter",-0.241078440752172
53,"1_10R",0.55,"pter",1.06074513930956
54,"1_10R",0.15,"pter",-0.241078440752172
55,"1_10R",0.35,"pter",0.409833349278693
56,"1_10R",NA,"pter",NA
